Personel Notebook - A2 ZAMAN & SAATLER (1441 Kelime)
====================================================

No   | Saat  | English                              | Türkçe
740  | 12:18 | eighteen minutes past twelve p.m.    | öğlen on ikiyi on sekiz geçiyor
741  | 12:19 | nineteen minutes past twelve p.m.    | öğlen on ikiyi on dokuz geçiyor
742  | 12:20 | twenty past twelve p.m.              | öğlen on ikiyi yirmi geçiyor
743  | 12:21 | twenty-one minutes past twelve p.m.  | öğlen on ikiyi yirmi bir geçiyor
744  | 12:22 | twenty-two minutes past twelve p.m.  | öğlen on ikiyi yirmi iki geçiyor
745  | 12:23 | twenty-three minutes past twelve p.m. | öğlen on ikiyi yirmi üç geçiyor
746  | 12:24 | twenty-four minutes past twelve p.m. | öğlen on ikiyi yirmi dört geçiyor
747  | 12:25 | twenty-five past twelve p.m.         | öğlen on ikiyi yirmi beş geçiyor
748  | 12:26 | twenty-six minutes past twelve p.m.  | öğlen on ikiyi yirmi altı geçiyor
749  | 12:27 | twenty-seven minutes past twelve p.m. | öğlen on ikiyi yirmi yedi geçiyor
750  | 12:28 | twenty-eight minutes past twelve p.m. | öğlen on ikiyi yirmi sekiz geçiyor
751  | 12:29 | twenty-nine minutes past twelve p.m. | öğlen on ikiyi yirmi dokuz geçiyor
752  | 12:30 | half past twelve p.m.                | öğlen on iki buçuk
753  | 12:31 | twenty-nine minutes to one p.m.      | öğleden sonra bire yirmi dokuz var
754  | 12:32 | twenty-eight minutes to one p.m.     | öğleden sonra bire yirmi sekiz var
755  | 12:33 | twenty-seven minutes to one p.m.     | öğleden sonra bire yirmi yedi var
756  | 12:34 | twenty-six minutes to one p.m.       | öğleden sonra bire yirmi altı var
757  | 12:35 | twenty-five to one p.m.              | öğleden sonra bire yirmi beş var
758  | 12:36 | twenty-four minutes to one p.m.      | öğleden sonra bire yirmi dört var
759  | 12:37 | twenty-three minutes to one p.m.     | öğleden sonra bire yirmi üç var
760  | 12:38 | twenty-two minutes to one p.m.       | öğleden sonra bire yirmi iki var
761  | 12:39 | twenty-one minutes to one p.m.       | öğleden sonra bire yirmi bir var
762  | 12:40 | twenty to one p.m.                   | öğleden sonra bire yirmi var
763  | 12:41 | nineteen minutes to one p.m.         | öğleden sonra bire on dokuz var
764  | 12:42 | eighteen minutes to one p.m.         | öğleden sonra bire on sekiz var
765  | 12:43 | seventeen minutes to one p.m.        | öğleden sonra bire on yedi var
766  | 12:44 | sixteen minutes to one p.m.          | öğleden sonra bire on altı var
767  | 12:45 | a quarter to one p.m.                | öğleden sonra bire çeyrek var
768  | 12:46 | fourteen minutes to one p.m.         | öğleden sonra bire on dört var
769  | 12:47 | thirteen minutes to one p.m.         | öğleden sonra bire on üç var
770  | 12:48 | twelve minutes to one p.m.           | öğleden sonra bire on iki var
771  | 12:49 | eleven minutes to one p.m.           | öğleden sonra bire on bir var
772  | 12:50 | ten to one p.m.                      | öğleden sonra bire on var
773  | 12:51 | nine minutes to one p.m.             | öğleden sonra bire dokuz var
774  | 12:52 | eight minutes to one p.m.            | öğleden sonra bire sekiz var
775  | 12:53 | seven minutes to one p.m.            | öğleden sonra bire yedi var
776  | 12:54 | six minutes to one p.m.              | öğleden sonra bire altı var
777  | 12:55 | five to one p.m.                     | öğleden sonra bire beş var
778  | 12:56 | four minutes to one p.m.             | öğleden sonra bire dört var
779  | 12:57 | three minutes to one p.m.            | öğleden sonra bire üç var
780  | 12:58 | two minutes to one p.m.              | öğleden sonra bire iki var
781  | 12:59 | one minute to one p.m.               | öğleden sonra bire bir var
782  | 13:00 | one o'clock p.m.                     | öğleden sonra bir
783  | 13:01 | one minute past one p.m.             | öğleden sonra biri bir geçiyor
784  | 13:02 | two minutes past one p.m.            | öğleden sonra biri iki geçiyor
785  | 13:03 | three minutes past one p.m.          | öğleden sonra biri üç geçiyor
786  | 13:04 | four minutes past one p.m.           | öğleden sonra biri dört geçiyor
787  | 13:05 | five past one p.m.                   | öğleden sonra biri beş geçiyor
788  | 13:06 | six minutes past one p.m.            | öğleden sonra biri altı geçiyor
789  | 13:07 | seven minutes past one p.m.          | öğleden sonra biri yedi geçiyor
790  | 13:08 | eight minutes past one p.m.          | öğleden sonra biri sekiz geçiyor
791  | 13:09 | nine minutes past one p.m.           | öğleden sonra biri dokuz geçiyor
792  | 13:10 | ten past one p.m.                    | öğleden sonra biri on geçiyor
793  | 13:11 | eleven minutes past one p.m.         | öğleden sonra biri on bir geçiyor
794  | 13:12 | twelve minutes past one p.m.         | öğleden sonra biri on iki geçiyor
795  | 13:13 | thirteen minutes past one p.m.       | öğleden sonra biri on üç geçiyor
796  | 13:14 | fourteen minutes past one p.m.       | öğleden sonra biri on dört geçiyor
797  | 13:15 | a quarter past one p.m.              | öğleden sonra biri çeyrek geçiyor
798  | 13:16 | sixteen minutes past one p.m.        | öğleden sonra biri on altı geçiyor
799  | 13:17 | seventeen minutes past one p.m.      | öğleden sonra biri on yedi geçiyor
800  | 13:18 | eighteen minutes past one p.m.       | öğleden sonra biri on sekiz geçiyor
801  | 13:19 | nineteen minutes past one p.m.       | öğleden sonra biri on dokuz geçiyor
802  | 13:20 | twenty past one p.m.                 | öğleden sonra biri yirmi geçiyor
803  | 13:21 | twenty-one minutes past one p.m.     | öğleden sonra biri yirmi bir geçiyor
804  | 13:22 | twenty-two minutes past one p.m.     | öğleden sonra biri yirmi iki geçiyor
805  | 13:23 | twenty-three minutes past one p.m.   | öğleden sonra biri yirmi üç geçiyor
806  | 13:24 | twenty-four minutes past one p.m.    | öğleden sonra biri yirmi dört geçiyor
807  | 13:25 | twenty-five past one p.m.            | öğleden sonra biri yirmi beş geçiyor
808  | 13:26 | twenty-six minutes past one p.m.     | öğleden sonra biri yirmi altı geçiyor
809  | 13:27 | twenty-seven minutes past one p.m.   | öğleden sonra biri yirmi yedi geçiyor
810  | 13:28 | twenty-eight minutes past one p.m.   | öğleden sonra biri yirmi sekiz geçiyor
811  | 13:29 | twenty-nine minutes past one p.m.    | öğleden sonra biri yirmi dokuz geçiyor
812  | 13:30 | half past one p.m.                   | öğleden sonra bir buçuk
813  | 13:31 | twenty-nine minutes to two p.m.      | öğleden sonra ikiye yirmi dokuz var
814  | 13:32 | twenty-eight minutes to two p.m.     | öğleden sonra ikiye yirmi sekiz var
815  | 13:33 | twenty-seven minutes to two p.m.     | öğleden sonra ikiye yirmi yedi var
816  | 13:34 | twenty-six minutes to two p.m.       | öğleden sonra ikiye yirmi altı var
817  | 13:35 | twenty-five to two p.m.              | öğleden sonra ikiye yirmi beş var
818  | 13:36 | twenty-four minutes to two p.m.      | öğleden sonra ikiye yirmi dört var
819  | 13:37 | twenty-three minutes to two p.m.     | öğleden sonra ikiye yirmi üç var
820  | 13:38 | twenty-two minutes to two p.m.       | öğleden sonra ikiye yirmi iki var
821  | 13:39 | twenty-one minutes to two p.m.       | öğleden sonra ikiye yirmi bir var
822  | 13:40 | twenty to two p.m.                   | öğleden sonra ikiye yirmi var
823  | 13:41 | nineteen minutes to two p.m.         | öğleden sonra ikiye on dokuz var
824  | 13:42 | eighteen minutes to two p.m.         | öğleden sonra ikiye on sekiz var
825  | 13:43 | seventeen minutes to two p.m.        | öğleden sonra ikiye on yedi var
826  | 13:44 | sixteen minutes to two p.m.          | öğleden sonra ikiye on altı var
827  | 13:45 | a quarter to two p.m.                | öğleden sonra ikiye çeyrek var
828  | 13:46 | fourteen minutes to two p.m.         | öğleden sonra ikiye on dört var
829  | 13:47 | thirteen minutes to two p.m.         | öğleden sonra ikiye on üç var
830  | 13:48 | twelve minutes to two p.m.           | öğleden sonra ikiye on iki var
831  | 13:49 | eleven minutes to two p.m.           | öğleden sonra ikiye on bir var
832  | 13:50 | ten to two p.m.                      | öğleden sonra ikiye on var
833  | 13:51 | nine minutes to two p.m.             | öğleden sonra ikiye dokuz var
834  | 13:52 | eight minutes to two p.m.            | öğleden sonra ikiye sekiz var
835  | 13:53 | seven minutes to two p.m.            | öğleden sonra ikiye yedi var
836  | 13:54 | six minutes to two p.m.              | öğleden sonra ikiye altı var
837  | 13:55 | five to two p.m.                     | öğleden sonra ikiye beş var
838  | 13:56 | four minutes to two p.m.             | öğleden sonra ikiye dört var
839  | 13:57 | three minutes to two p.m.            | öğleden sonra ikiye üç var
840  | 13:58 | two minutes to two p.m.              | öğleden sonra ikiye iki var
841  | 13:59 | one minute to two p.m.               | öğleden sonra ikiye bir var
842  | 14:00 | two o'clock p.m.                     | öğleden sonra iki
843  | 14:01 | one minute past two p.m.             | öğleden sonra ikiyi bir geçiyor
844  | 14:02 | two minutes past two p.m.            | öğleden sonra ikiyi iki geçiyor
845  | 14:03 | three minutes past two p.m.          | öğleden sonra ikiyi üç geçiyor
846  | 14:04 | four minutes past two p.m.           | öğleden sonra ikiyi dört geçiyor
847  | 14:05 | five past two p.m.                   | öğleden sonra ikiyi beş geçiyor
848  | 14:06 | six minutes past two p.m.            | öğleden sonra ikiyi altı geçiyor
849  | 14:07 | seven minutes past two p.m.          | öğleden sonra ikiyi yedi geçiyor
850  | 14:08 | eight minutes past two p.m.          | öğleden sonra ikiyi sekiz geçiyor
851  | 14:09 | nine minutes past two p.m.           | öğleden sonra ikiyi dokuz geçiyor
852  | 14:10 | ten past two p.m.                    | öğleden sonra ikiyi on geçiyor
853  | 14:11 | eleven minutes past two p.m.         | öğleden sonra ikiyi on bir geçiyor
854  | 14:12 | twelve minutes past two p.m.         | öğleden sonra ikiyi on iki geçiyor
855  | 14:13 | thirteen minutes past two p.m.       | öğleden sonra ikiyi on üç geçiyor
856  | 14:14 | fourteen minutes past two p.m.       | öğleden sonra ikiyi on dört geçiyor
857  | 14:15 | a quarter past two p.m.              | öğleden sonra ikiyi çeyrek geçiyor
858  | 14:16 | sixteen minutes past two p.m.        | öğleden sonra ikiyi on altı geçiyor
859  | 14:17 | seventeen minutes past two p.m.      | öğleden sonra ikiyi on yedi geçiyor
860  | 14:18 | eighteen minutes past two p.m.       | öğleden sonra ikiyi on sekiz geçiyor
861  | 14:19 | nineteen minutes past two p.m.       | öğleden sonra ikiyi on dokuz geçiyor
862  | 14:20 | twenty past two p.m.                 | öğleden sonra ikiyi yirmi geçiyor
863  | 14:21 | twenty-one minutes past two p.m.     | öğleden sonra ikiyi yirmi bir geçiyor
864  | 14:22 | twenty-two minutes past two p.m.     | öğleden sonra ikiyi yirmi iki geçiyor
865  | 14:23 | twenty-three minutes past two p.m.   | öğleden sonra ikiyi yirmi üç geçiyor
866  | 14:24 | twenty-four minutes past two p.m.    | öğleden sonra ikiyi yirmi dört geçiyor
867  | 14:25 | twenty-five past two p.m.            | öğleden sonra ikiyi yirmi beş geçiyor
868  | 14:26 | twenty-six minutes past two p.m.     | öğleden sonra ikiyi yirmi altı geçiyor
869  | 14:27 | twenty-seven minutes past two p.m.   | öğleden sonra ikiyi yirmi yedi geçiyor
870  | 14:28 | twenty-eight minutes past two p.m.   | öğleden sonra ikiyi yirmi sekiz geçiyor
871  | 14:29 | twenty-nine minutes past two p.m.    | öğleden sonra ikiyi yirmi dokuz geçiyor
872  | 14:30 | half past two p.m.                   | öğleden sonra iki buçuk
873  | 14:31 | twenty-nine minutes to three p.m.    | öğleden sonra üçe yirmi dokuz var
874  | 14:32 | twenty-eight minutes to three p.m.   | öğleden sonra üçe yirmi sekiz var
875  | 14:33 | twenty-seven minutes to three p.m.   | öğleden sonra üçe yirmi yedi var
876  | 14:34 | twenty-six minutes to three p.m.     | öğleden sonra üçe yirmi altı var
877  | 14:35 | twenty-five to three p.m.            | öğleden sonra üçe yirmi beş var
878  | 14:36 | twenty-four minutes to three p.m.    | öğleden sonra üçe yirmi dört var
879  | 14:37 | twenty-three minutes to three p.m.   | öğleden sonra üçe yirmi üç var
880  | 14:38 | twenty-two minutes to three p.m.     | öğleden sonra üçe yirmi iki var
881  | 14:39 | twenty-one minutes to three p.m.     | öğleden sonra üçe yirmi bir var
882  | 14:40 | twenty to three p.m.                 | öğleden sonra üçe yirmi var
883  | 14:41 | nineteen minutes to three p.m.       | öğleden sonra üçe on dokuz var
884  | 14:42 | eighteen minutes to three p.m.       | öğleden sonra üçe on sekiz var
885  | 14:43 | seventeen minutes to three p.m.      | öğleden sonra üçe on yedi var
886  | 14:44 | sixteen minutes to three p.m.        | öğleden sonra üçe on altı var
887  | 14:45 | a quarter to three p.m.              | öğleden sonra üçe çeyrek var
888  | 14:46 | fourteen minutes to three p.m.       | öğleden sonra üçe on dört var
889  | 14:47 | thirteen minutes to three p.m.       | öğleden sonra üçe on üç var
890  | 14:48 | twelve minutes to three p.m.         | öğleden sonra üçe on iki var
891  | 14:49 | eleven minutes to three p.m.         | öğleden sonra üçe on bir var
892  | 14:50 | ten to three p.m.                    | öğleden sonra üçe on var
893  | 14:51 | nine minutes to three p.m.           | öğleden sonra üçe dokuz var
894  | 14:52 | eight minutes to three p.m.          | öğleden sonra üçe sekiz var
895  | 14:53 | seven minutes to three p.m.          | öğleden sonra üçe yedi var
896  | 14:54 | six minutes to three p.m.            | öğleden sonra üçe altı var
897  | 14:55 | five to three p.m.                   | öğleden sonra üçe beş var
898  | 14:56 | four minutes to three p.m.           | öğleden sonra üçe dört var
899  | 14:57 | three minutes to three p.m.          | öğleden sonra üçe üç var
900  | 14:58 | two minutes to three p.m.            | öğleden sonra üçe iki var
901  | 14:59 | one minute to three p.m.             | öğleden sonra üçe bir var
902  | 15:00 | three o'clock p.m.                   | öğleden sonra üç
903  | 15:01 | one minute past three p.m.           | öğleden sonra üçü bir geçiyor
904  | 15:02 | two minutes past three p.m.          | öğleden sonra üçü iki geçiyor
905  | 15:03 | three minutes past three p.m.        | öğleden sonra üçü üç geçiyor
906  | 15:04 | four minutes past three p.m.         | öğleden sonra üçü dört geçiyor
907  | 15:05 | five past three p.m.                 | öğleden sonra üçü beş geçiyor
908  | 15:06 | six minutes past three p.m.          | öğleden sonra üçü altı geçiyor
909  | 15:07 | seven minutes past three p.m.        | öğleden sonra üçü yedi geçiyor
910  | 15:08 | eight minutes past three p.m.        | öğleden sonra üçü sekiz geçiyor
911  | 15:09 | nine minutes past three p.m.         | öğleden sonra üçü dokuz geçiyor
912  | 15:10 | ten past three p.m.                  | öğleden sonra üçü on geçiyor
913  | 15:11 | eleven minutes past three p.m.       | öğleden sonra üçü on bir geçiyor
914  | 15:12 | twelve minutes past three p.m.       | öğleden sonra üçü on iki geçiyor
915  | 15:13 | thirteen minutes past three p.m.     | öğleden sonra üçü on üç geçiyor
916  | 15:14 | fourteen minutes past three p.m.     | öğleden sonra üçü on dört geçiyor
917  | 15:15 | a quarter past three p.m.            | öğleden sonra üçü çeyrek geçiyor
918  | 15:16 | sixteen minutes past three p.m.      | öğleden sonra üçü on altı geçiyor
919  | 15:17 | seventeen minutes past three p.m.    | öğleden sonra üçü on yedi geçiyor
920  | 15:18 | eighteen minutes past three p.m.     | öğleden sonra üçü on sekiz geçiyor
921  | 15:19 | nineteen minutes past three p.m.     | öğleden sonra üçü on dokuz geçiyor
922  | 15:20 | twenty past three p.m.               | öğleden sonra üçü yirmi geçiyor
923  | 15:21 | twenty-one minutes past three p.m.   | öğleden sonra üçü yirmi bir geçiyor
924  | 15:22 | twenty-two minutes past three p.m.   | öğleden sonra üçü yirmi iki geçiyor
925  | 15:23 | twenty-three minutes past three p.m. | öğleden sonra üçü yirmi üç geçiyor
926  | 15:24 | twenty-four minutes past three p.m.  | öğleden sonra üçü yirmi dört geçiyor
927  | 15:25 | twenty-five past three p.m.          | öğleden sonra üçü yirmi beş geçiyor
928  | 15:26 | twenty-six minutes past three p.m.   | öğleden sonra üçü yirmi altı geçiyor
929  | 15:27 | twenty-seven minutes past three p.m. | öğleden sonra üçü yirmi yedi geçiyor
930  | 15:28 | twenty-eight minutes past three p.m. | öğleden sonra üçü yirmi sekiz geçiyor
931  | 15:29 | twenty-nine minutes past three p.m.  | öğleden sonra üçü yirmi dokuz geçiyor
932  | 15:30 | half past three p.m.                 | öğleden sonra üç buçuk
933  | 15:31 | twenty-nine minutes to four p.m.     | öğleden sonra dörde yirmi dokuz var
934  | 15:32 | twenty-eight minutes to four p.m.    | öğleden sonra dörde yirmi sekiz var
935  | 15:33 | twenty-seven minutes to four p.m.    | öğleden sonra dörde yirmi yedi var
936  | 15:34 | twenty-six minutes to four p.m.      | öğleden sonra dörde yirmi altı var
937  | 15:35 | twenty-five to four p.m.             | öğleden sonra dörde yirmi beş var
938  | 15:36 | twenty-four minutes to four p.m.     | öğleden sonra dörde yirmi dört var
939  | 15:37 | twenty-three minutes to four p.m.    | öğleden sonra dörde yirmi üç var
940  | 15:38 | twenty-two minutes to four p.m.      | öğleden sonra dörde yirmi iki var
941  | 15:39 | twenty-one minutes to four p.m.      | öğleden sonra dörde yirmi bir var
942  | 15:40 | twenty to four p.m.                  | öğleden sonra dörde yirmi var
943  | 15:41 | nineteen minutes to four p.m.        | öğleden sonra dörde on dokuz var
944  | 15:42 | eighteen minutes to four p.m.        | öğleden sonra dörde on sekiz var
945  | 15:43 | seventeen minutes to four p.m.       | öğleden sonra dörde on yedi var
946  | 15:44 | sixteen minutes to four p.m.         | öğleden sonra dörde on altı var
947  | 15:45 | a quarter to four p.m.               | öğleden sonra dörde çeyrek var
948  | 15:46 | fourteen minutes to four p.m.        | öğleden sonra dörde on dört var
949  | 15:47 | thirteen minutes to four p.m.        | öğleden sonra dörde on üç var
950  | 15:48 | twelve minutes to four p.m.          | öğleden sonra dörde on iki var
951  | 15:49 | eleven minutes to four p.m.          | öğleden sonra dörde on bir var
952  | 15:50 | ten to four p.m.                     | öğleden sonra dörde on var
953  | 15:51 | nine minutes to four p.m.            | öğleden sonra dörde dokuz var
954  | 15:52 | eight minutes to four p.m.           | öğleden sonra dörde sekiz var
955  | 15:53 | seven minutes to four p.m.           | öğleden sonra dörde yedi var
956  | 15:54 | six minutes to four p.m.             | öğleden sonra dörde altı var
957  | 15:55 | five to four p.m.                    | öğleden sonra dörde beş var
958  | 15:56 | four minutes to four p.m.            | öğleden sonra dörde dört var
959  | 15:57 | three minutes to four p.m.           | öğleden sonra dörde üç var
960  | 15:58 | two minutes to four p.m.             | öğleden sonra dörde iki var
961  | 15:59 | one minute to four p.m.              | öğleden sonra dörde bir var
962  | 16:00 | four o'clock p.m.                    | öğleden sonra dört
963  | 16:01 | one minute past four p.m.            | öğleden sonra dördü bir geçiyor
964  | 16:02 | two minutes past four p.m.           | öğleden sonra dördü iki geçiyor
965  | 16:03 | three minutes past four p.m.         | öğleden sonra dördü üç geçiyor
966  | 16:04 | four minutes past four p.m.          | öğleden sonra dördü dört geçiyor
967  | 16:05 | five past four p.m.                  | öğleden sonra dördü beş geçiyor
968  | 16:06 | six minutes past four p.m.           | öğleden sonra dördü altı geçiyor
969  | 16:07 | seven minutes past four p.m.         | öğleden sonra dördü yedi geçiyor
970  | 16:08 | eight minutes past four p.m.         | öğleden sonra dördü sekiz geçiyor
971  | 16:09 | nine minutes past four p.m.          | öğleden sonra dördü dokuz geçiyor
972  | 16:10 | ten past four p.m.                   | öğleden sonra dördü on geçiyor
973  | 16:11 | eleven minutes past four p.m.        | öğleden sonra dördü on bir geçiyor
974  | 16:12 | twelve minutes past four p.m.        | öğleden sonra dördü on iki geçiyor
975  | 16:13 | thirteen minutes past four p.m.      | öğleden sonra dördü on üç geçiyor
976  | 16:14 | fourteen minutes past four p.m.      | öğleden sonra dördü on dört geçiyor
977  | 16:15 | a quarter past four p.m.             | öğleden sonra dördü çeyrek geçiyor
978  | 16:16 | sixteen minutes past four p.m.       | öğleden sonra dördü on altı geçiyor
979  | 16:17 | seventeen minutes past four p.m.     | öğleden sonra dördü on yedi geçiyor
980  | 16:18 | eighteen minutes past four p.m.      | öğleden sonra dördü on sekiz geçiyor
981  | 16:19 | nineteen minutes past four p.m.      | öğleden sonra dördü on dokuz geçiyor
982  | 16:20 | twenty past four p.m.                | öğleden sonra dördü yirmi geçiyor
983  | 16:21 | twenty-one minutes past four p.m.    | öğleden sonra dördü yirmi bir geçiyor
984  | 16:22 | twenty-two minutes past four p.m.    | öğleden sonra dördü yirmi iki geçiyor
985  | 16:23 | twenty-three minutes past four p.m.  | öğleden sonra dördü yirmi üç geçiyor
986  | 16:24 | twenty-four minutes past four p.m.   | öğleden sonra dördü yirmi dört geçiyor
987  | 16:25 | twenty-five past four p.m.           | öğleden sonra dördü yirmi beş geçiyor
988  | 16:26 | twenty-six minutes past four p.m.    | öğleden sonra dördü yirmi altı geçiyor
989  | 16:27 | twenty-seven minutes past four p.m.  | öğleden sonra dördü yirmi yedi geçiyor
990  | 16:28 | twenty-eight minutes past four p.m.  | öğleden sonra dördü yirmi sekiz geçiyor
991  | 16:29 | twenty-nine minutes past four p.m.   | öğleden sonra dördü yirmi dokuz geçiyor
992  | 16:30 | half past four p.m.                  | öğleden sonra dört buçuk
993  | 16:31 | twenty-nine minutes to five p.m.     | öğleden sonra beşe yirmi dokuz var
994  | 16:32 | twenty-eight minutes to five p.m.    | öğleden sonra beşe yirmi sekiz var
995  | 16:33 | twenty-seven minutes to five p.m.    | öğleden sonra beşe yirmi yedi var
996  | 16:34 | twenty-six minutes to five p.m.      | öğleden sonra beşe yirmi altı var
997  | 16:35 | twenty-five to five p.m.             | öğleden sonra beşe yirmi beş var
998  | 16:36 | twenty-four minutes to five p.m.     | öğleden sonra beşe yirmi dört var
999  | 16:37 | twenty-three minutes to five p.m.    | öğleden sonra beşe yirmi üç var
1000 | 16:38 | twenty-two minutes to five p.m.      | öğleden sonra beşe yirmi iki var
1001 | 16:39 | twenty-one minutes to five p.m.      | öğleden sonra beşe yirmi bir var
1002 | 16:40 | twenty to five p.m.                  | öğleden sonra beşe yirmi var
1003 | 16:41 | nineteen minutes to five p.m.        | öğleden sonra beşe on dokuz var
1004 | 16:42 | eighteen minutes to five p.m.        | öğleden sonra beşe on sekiz var
1005 | 16:43 | seventeen minutes to five p.m.       | öğleden sonra beşe on yedi var
1006 | 16:44 | sixteen minutes to five p.m.         | öğleden sonra beşe on altı var
1007 | 16:45 | a quarter to five p.m.               | öğleden sonra beşe çeyrek var
1008 | 16:46 | fourteen minutes to five p.m.        | öğleden sonra beşe on dört var
1009 | 16:47 | thirteen minutes to five p.m.        | öğleden sonra beşe on üç var
1010 | 16:48 | twelve minutes to five p.m.          | öğleden sonra beşe on iki var
1011 | 16:49 | eleven minutes to five p.m.          | öğleden sonra beşe on bir var
1012 | 16:50 | ten to five p.m.                     | öğleden sonra beşe on var
1013 | 16:51 | nine minutes to five p.m.            | öğleden sonra beşe dokuz var
1014 | 16:52 | eight minutes to five p.m.           | öğleden sonra beşe sekiz var
1015 | 16:53 | seven minutes to five p.m.           | öğleden sonra beşe yedi var
1016 | 16:54 | six minutes to five p.m.             | öğleden sonra beşe altı var
1017 | 16:55 | five to five p.m.                    | öğleden sonra beşe beş var
1018 | 16:56 | four minutes to five p.m.            | öğleden sonra beşe dört var
1019 | 16:57 | three minutes to five p.m.           | öğleden sonra beşe üç var
1020 | 16:58 | two minutes to five p.m.             | öğleden sonra beşe iki var
1021 | 16:59 | one minute to five p.m.              | öğleden sonra beşe bir var
1022 | 17:00 | five o'clock p.m.                    | akşam beş
1023 | 17:01 | one minute past five p.m.            | akşam beşi bir geçiyor
1024 | 17:02 | two minutes past five p.m.           | akşam beşi iki geçiyor
1025 | 17:03 | three minutes past five p.m.         | akşam beşi üç geçiyor
1026 | 17:04 | four minutes past five p.m.          | akşam beşi dört geçiyor
1027 | 17:05 | five past five p.m.                  | akşam beşi beş geçiyor
1028 | 17:06 | six minutes past five p.m.           | akşam beşi altı geçiyor
1029 | 17:07 | seven minutes past five p.m.         | akşam beşi yedi geçiyor
1030 | 17:08 | eight minutes past five p.m.         | akşam beşi sekiz geçiyor
1031 | 17:09 | nine minutes past five p.m.          | akşam beşi dokuz geçiyor
1032 | 17:10 | ten past five p.m.                   | akşam beşi on geçiyor
1033 | 17:11 | eleven minutes past five p.m.        | akşam beşi on bir geçiyor
1034 | 17:12 | twelve minutes past five p.m.        | akşam beşi on iki geçiyor
1035 | 17:13 | thirteen minutes past five p.m.      | akşam beşi on üç geçiyor
1036 | 17:14 | fourteen minutes past five p.m.      | akşam beşi on dört geçiyor
1037 | 17:15 | a quarter past five p.m.             | akşam beşi çeyrek geçiyor
1038 | 17:16 | sixteen minutes past five p.m.       | akşam beşi on altı geçiyor
1039 | 17:17 | seventeen minutes past five p.m.     | akşam beşi on yedi geçiyor
1040 | 17:18 | eighteen minutes past five p.m.      | akşam beşi on sekiz geçiyor
1041 | 17:19 | nineteen minutes past five p.m.      | akşam beşi on dokuz geçiyor
1042 | 17:20 | twenty past five p.m.                | akşam beşi yirmi geçiyor
1043 | 17:21 | twenty-one minutes past five p.m.    | akşam beşi yirmi bir geçiyor
1044 | 17:22 | twenty-two minutes past five p.m.    | akşam beşi yirmi iki geçiyor
1045 | 17:23 | twenty-three minutes past five p.m.  | akşam beşi yirmi üç geçiyor
1046 | 17:24 | twenty-four minutes past five p.m.   | akşam beşi yirmi dört geçiyor
1047 | 17:25 | twenty-five past five p.m.           | akşam beşi yirmi beş geçiyor
1048 | 17:26 | twenty-six minutes past five p.m.    | akşam beşi yirmi altı geçiyor
1049 | 17:27 | twenty-seven minutes past five p.m.  | akşam beşi yirmi yedi geçiyor
1050 | 17:28 | twenty-eight minutes past five p.m.  | akşam beşi yirmi sekiz geçiyor
1051 | 17:29 | twenty-nine minutes past five p.m.   | akşam beşi yirmi dokuz geçiyor
1052 | 17:30 | half past five p.m.                  | akşam beş buçuk
1053 | 17:31 | twenty-nine minutes to six p.m.      | akşam altıya yirmi dokuz var
1054 | 17:32 | twenty-eight minutes to six p.m.     | akşam altıya yirmi sekiz var
1055 | 17:33 | twenty-seven minutes to six p.m.     | akşam altıya yirmi yedi var
1056 | 17:34 | twenty-six minutes to six p.m.       | akşam altıya yirmi altı var
1057 | 17:35 | twenty-five to six p.m.              | akşam altıya yirmi beş var
1058 | 17:36 | twenty-four minutes to six p.m.      | akşam altıya yirmi dört var
1059 | 17:37 | twenty-three minutes to six p.m.     | akşam altıya yirmi üç var
1060 | 17:38 | twenty-two minutes to six p.m.       | akşam altıya yirmi iki var
1061 | 17:39 | twenty-one minutes to six p.m.       | akşam altıya yirmi bir var
1062 | 17:40 | twenty to six p.m.                   | akşam altıya yirmi var
1063 | 17:41 | nineteen minutes to six p.m.         | akşam altıya on dokuz var
1064 | 17:42 | eighteen minutes to six p.m.         | akşam altıya on sekiz var
1065 | 17:43 | seventeen minutes to six p.m.        | akşam altıya on yedi var
1066 | 17:44 | sixteen minutes to six p.m.          | akşam altıya on altı var
1067 | 17:45 | a quarter to six p.m.                | akşam altıya çeyrek var
1068 | 17:46 | fourteen minutes to six p.m.         | akşam altıya on dört var
1069 | 17:47 | thirteen minutes to six p.m.         | akşam altıya on üç var
1070 | 17:48 | twelve minutes to six p.m.           | akşam altıya on iki var
1071 | 17:49 | eleven minutes to six p.m.           | akşam altıya on bir var
1072 | 17:50 | ten to six p.m.                      | akşam altıya on var
1073 | 17:51 | nine minutes to six p.m.             | akşam altıya dokuz var
1074 | 17:52 | eight minutes to six p.m.            | akşam altıya sekiz var
1075 | 17:53 | seven minutes to six p.m.            | akşam altıya yedi var
1076 | 17:54 | six minutes to six p.m.              | akşam altıya altı var
1077 | 17:55 | five to six p.m.                     | akşam altıya beş var
1078 | 17:56 | four minutes to six p.m.             | akşam altıya dört var
1079 | 17:57 | three minutes to six p.m.            | akşam altıya üç var
1080 | 17:58 | two minutes to six p.m.              | akşam altıya iki var
1081 | 17:59 | one minute to six p.m.               | akşam altıya bir var
1082 | 18:00 | six o'clock p.m.                     | akşam altı
1083 | 18:01 | one minute past six p.m.             | akşam altıyı bir geçiyor
